SOC,OCV
99.42010125,4.182007
99.41473844,4.181929
99.40919687,4.181898
99.40365529,4.182013
99.39811372,4.181481
99.38703058,4.181815
99.37594743,4.181387
99.37040586,4.181436
99.36486429,4.181732
99.35932271,4.181638
99.35378114,4.181212
99.34841833,4.181125
99.34287676,4.181361
99.33733518,4.181036
99.33179361,4.180991
99.32625204,4.181167
99.32071047,4.180961
99.31516889,4.180597
99.30962732,4.180779
99.30408575,4.18087
99.29854418,4.180825
99.29318136,4.180563
99.28209822,4.180521
99.27101507,4.180124
99.2654735,4.180281
99.25993193,4.180343
99.25439036,4.180087
99.24884878,4.180041
99.24348597,4.180054
99.2379444,4.180008
99.22686125,4.17968
99.21577811,4.179799
99.21023654,4.17947
99.20469496,4.179437
99.19915339,4.179542
99.19361182,4.179343
99.18807025,4.179406
99.18270743,4.179173
99.17716586,4.17931
99.17162429,4.179056
99.16054114,4.179096
99.15499957,4.179151
99.149458,4.178792
99.14391643,4.178964
99.13837485,4.178928
99.13301204,4.178803
99.12747047,4.17844
99.1219289,4.178498
99.11084575,4.17841
99.10530418,4.178399
99.09422103,4.178272
99.08867946,4.178386
99.08313789,4.177951
99.07759632,4.178151
99.0722335,4.178181
99.06669193,4.177948
99.06115036,4.177836
99.05560879,4.178117
99.05006721,4.17781
99.04452564,4.177698
99.03898407,4.177669
99.0334425,4.177714
99.02790092,4.177388
99.02253811,4.17741
99.01699654,4.177394
99.01145497,4.17753
99.00591339,4.177235
99.00037182,4.17724
98.98928868,4.177323
98.9837471,4.176949
98.97820553,4.17706
98.97266396,4.177036
98.96730115,4.176977
98.96175957,4.17681
98.95067643,4.176595
98.94513486,4.176508
98.93405171,4.176583
98.92851014,4.176475
98.92296857,4.176253
98.91742699,4.176222
98.91188542,4.176277
98.90634385,4.176337
98.89543946,4.17601
98.88435632,4.175977
98.87881475,4.175894
98.8677316,4.175687
98.86219003,4.175548
98.85664846,4.175526
98.85110688,4.175545
98.84574407,4.17562
98.8402025,4.175374
98.83466093,4.175192
98.82911935,4.175386
98.82357778,4.175284
98.81803621,4.175132
98.81249464,4.175206
98.80695306,4.175156
98.80141149,4.175127
98.79586992,4.17484
98.79032835,4.175042
98.78496553,4.174956
98.77388239,4.174663
98.76834082,4.174913
98.76279924,4.174706
98.75725767,4.174449
98.7517161,4.174375
98.74617453,4.174479
98.74063295,4.174348
98.73509138,4.174167
98.72972857,4.174392
98.724187,4.174136
98.71864543,4.174025
98.70756228,4.174358
98.70202071,4.174062
98.69647914,4.173797
98.69093756,4.173837
98.68539599,4.173838
98.67985442,4.173812
98.66895003,4.173581
98.65786689,4.173444
98.65232532,4.173388
98.64678374,4.17338
98.64124217,4.173364
98.6357006,4.173136
98.63015903,4.173031
98.62461745,4.173158
98.61925464,4.173212
98.61371307,4.17294
98.60262992,4.172911
98.59708835,4.173023
98.59154678,4.172543
98.58600521,4.172584
98.58046363,4.172692
98.57492206,4.172415
98.56938049,4.172466
98.56383892,4.172585
98.55829734,4.172561
98.55293453,4.172249
98.54739296,4.171965
98.54185139,4.172461
98.53630981,4.17231
98.53076824,4.171873
98.52522667,4.171969
98.5196851,4.172068
98.51414352,4.171849
98.50860195,4.171557
98.50306038,4.171855
98.49751881,4.171883
98.49197723,4.171661
98.48107285,4.171729
98.47553128,4.17159
98.4699897,4.171139
98.46444813,4.171391
98.45890656,4.171501
98.45336499,4.171394
98.44228184,4.17121
98.43674027,4.171388
98.4311987,4.171137
98.42565712,4.170897
98.42029431,4.170878
98.41475274,4.171048
98.40921117,4.170677
98.40366959,4.170709
98.39812802,4.170912
98.39258645,4.170753
98.38704488,4.1705
98.3815033,4.1703
98.37596173,4.170603
98.37042016,4.170325
98.36487859,4.170236
98.35951577,4.170243
98.3539742,4.170314
98.34843263,4.170154
98.34289106,4.169916
98.33734948,4.170057
98.33180791,4.170003
98.32072477,4.16981
98.30964162,4.169934
98.30427881,4.169737
98.29855848,4.169488
98.29319566,4.169627
98.28765409,4.169543
98.28211252,4.169402
98.27102937,4.169447
98.2654878,4.169249
98.25994623,4.169122
98.25440466,4.169353
98.24886308,4.169218
98.24332151,4.168963
98.2379587,4.168995
98.23241713,4.169092
98.22687555,4.169039
98.21579241,4.168694
98.21025084,4.168726
98.19916769,4.168524
98.19362612,4.168593
98.18808455,4.168632
98.18272173,4.168326
98.17718016,4.168054
98.17163859,4.168396
98.16055544,4.168139
98.15501387,4.167917
98.1494723,4.168336
98.14393073,4.168119
98.13838915,4.167944
98.13284758,4.16785
98.12730601,4.168071
98.12176444,4.167999
98.11640162,4.167624
98.11086005,4.167797
98.10531848,4.167794
98.09423533,4.167427
98.08869376,4.167482
98.08315219,4.167493
98.07761062,4.167218
98.07206904,4.167053
98.06652747,4.167308
98.05544433,4.167083
98.04453994,4.167199
98.03881961,4.166984
98.02791522,4.166784
98.02237365,4.166958
98.01683208,4.166704
98.01129051,4.166451
98.00574893,4.16665
98.00020736,4.166719
97.98912422,4.166228
97.98358264,4.166549
97.9724995,4.166255
97.96713669,4.16608
97.96159511,4.16625
97.95605354,4.165984
97.95051197,4.166018
97.9449704,4.165915
97.93388725,4.165579
97.92834568,4.165729
97.92280411,4.165891
97.91726253,4.165812
97.90617939,4.165486
97.90081658,4.165539
97.89527501,4.165657
97.88419186,4.165183
97.87865029,4.165411
97.87310871,4.165246
97.86756714,4.164893
97.856484,4.165163
97.85094242,4.164907
97.84540085,4.164971
97.83985928,4.164933
97.82877613,4.164775
97.82341332,4.164693
97.81787175,4.164598
97.81233018,4.164734
97.80678861,4.164511
97.80124703,4.164493
97.79570546,4.164558
97.79016389,4.164307
97.78462232,4.164144
97.77908074,4.164239
97.77371793,4.164378
97.76263479,4.163955
97.75709321,4.164063
97.74601007,4.163938
97.7404685,4.163896
97.73492692,4.163922
97.72938535,4.163695
97.72384378,4.163645
97.71830221,4.163659
97.71276063,4.163626
97.70739782,4.163304
97.69631468,4.163521
97.6907731,4.163403
97.68523153,4.16343
97.67968996,4.163181
97.67414839,4.163386
97.66860681,4.163207
97.66306524,4.162986
97.65752367,4.162927
97.6519821,4.163244
97.64644052,4.162744
97.64107771,4.162577
97.63553614,4.162736
97.62999457,4.162819
97.62445299,4.162442
97.61891142,4.162527
97.61336985,4.162709
97.60782828,4.162593
97.6022867,4.162426
97.59674513,4.162467
97.59120356,4.162483
97.58566199,4.162353
97.58012041,4.162314
97.57457884,4.162045
97.56903727,4.162099
97.56367446,4.16202
97.55813288,4.161951
97.55259131,4.162069
97.54704974,4.162044
97.53596659,4.161736
97.53042502,4.161853
97.52488345,4.161805
97.51934188,4.161603
97.5138003,4.161511
97.50825873,4.161646
97.50271716,4.161481
97.49735435,4.161224
97.49181277,4.161321
97.48072963,4.161207
97.46964648,4.161335
97.46410491,4.161272
97.45856334,4.160882
97.45302177,4.160711
97.44748019,4.160895
97.44193862,4.160778
97.43639705,4.160457
97.43085548,4.160639
97.4253139,4.1607
97.41440952,4.160475
97.40868919,4.160637
97.40332637,4.160748
97.3977848,4.160305
97.39224323,4.160362
97.38670166,4.160286
97.38116008,4.160441
97.37561851,4.160163
97.37007694,4.160077
97.36453537,4.160287
97.35899379,4.160211
97.35345222,4.15986
97.34791065,4.159774
97.34236908,4.159877
97.33700626,4.159713
97.33146469,4.159633
97.32592312,4.159794
97.32038155,4.159798
97.31483997,4.159285
97.3092984,4.159491
97.30375683,4.159696
97.29821526,4.159653
97.29267368,4.159325
97.28713211,4.159083
97.28159054,4.159435
97.27050739,4.158927
97.26514458,4.158921
97.25406144,4.158729
97.24851986,4.158912
97.24297829,4.158926
